brand,model,model_year,milage,fuel_type,ext_col,int_col,accident,horse_power,displacement_L,cylinder,transmission_clean
kia,Telluride Sx,2020,69185,gasoline,Ebony Black,Gray,None reported,310.0,3.8,6.0,Automatic
lincoln,Navigator Base,2013,134000,e85 flex fuel,Red,Black,None reported,310.0,5.4,8.0,Automatic
jeep,Grand Wagoneer,2022,31112,gasoline,Black,Black,None reported,471.0,6.4,8.0,Automatic
mercedes-benz,Gl-Class Gl,2015,84000,gasoline,Blue,Gray,None reported,362.0,3.0,6.0,Automatic
mercedes-benz,E-Class E,2018,53705,gasoline,Black,Black,Accident Reported,241.0,2.0,4.0,Automatic
toyota,4Runner Sr5,2018,32199,gasoline,Silver,Black,None reported,270.0,4.0,6.0,Automatic
mercedes-benz,Gla 250,2018,56578,e85 flex fuel,White,Black,None reported,208.0,2.0,4.0,Automatic
chevrolet,Corvette Stingray,2021,3053,gasoline,Silver,Gray,None reported,490.0,6.2,8.0,unknown
chevrolet,Tahoe Ltz,2015,134500,gasoline,Black,Black,None reported,355.0,5.3,8.0,Automatic
buick,Regal Turbo,2012,190000,gasoline,Beige,Beige,Accident Reported,220.0,2.0,4.0,Automatic
chevrolet,Trailblazer Ss,2008,161000,gasoline,Red,Black,Accident Reported,390.0,6.0,8.0,Automatic
ram,1500 Trx,2021,15183,gasoline,Black,Black,None reported,702.0,6.2,8.0,Automatic
lexus,Is 300,2018,16000,gasoline,Blue,Brown,Accident Reported,260.0,3.5,6.0,Automatic
gmc,Sierra 2500,2021,8210,gasoline,White,Black,None reported,401.0,6.6,8.0,Automatic
dodge,Ram 2500,2006,218000,gasoline,Red,Gray,None reported,330.0,5.7,8.0,Automatic
mazda,Cx-5 Grand,2021,62377,gasoline,Jet Black Mica,Black,None reported,310.0,2.5,6.0,Automatic
toyota,Tacoma Trd,2020,41199,gasoline,Black,Black/Gun Metal,None reported,310.0,3.5,6.0,Manual
mitsubishi,Outlander Sport,2015,98385,gasoline,Silver,Black,Accident Reported,166.0,2.4,4.0,CVT
mercedes-benz,S-Class S,2011,60000,gasoline,White,Black,Accident Reported,536.0,5.5,8.0,unknown
ram,1500 Sport,2017,41789,gasoline,Green,Black,Accident Reported,395.0,5.7,8.0,Automatic
porsche,Cayenne S,2015,124000,gasoline,White,Beige,None reported,420.0,3.6,6.0,Automatic
bmw,I8 Base,2015,846,plug-in hybrid,White,White,None reported,357.0,1.5,3.0,Automatic
gmc,Suburban 2500,1996,95000,gasoline,White,Gray,None reported,290.0,7.4,8.0,Automatic
ford,Excursion Xlt,2000,205000,gasoline,Black,Gray,Accident Reported,310.0,6.8,10.0,Automatic
toyota,4Runner Trail,2016,117780,gasoline,Gray,Black,None reported,270.0,4.0,6.0,Automatic
tesla,Model Y,2020,39000,unknown,Silver,Black,None reported,455.0,3.5,6.0,Automatic
land,Rover Discovery,2020,20927,gasoline,Fuji White,–,None reported,310.0,2.0,6.0,Automatic
audi,Q8 3.0T,2019,54900,hybrid,Gold,Black,Accident Reported,335.0,3.0,6.0,Automatic
ram,1500 Big,2021,41800,diesel,White,Black,None reported,260.0,3.0,6.0,Automatic
subaru,Impreza Wrx,2014,77000,gasoline,Gray,Black,Accident Reported,305.0,2.5,4.0,Manual
chevrolet,Camaro 1Ss,2022,6640,gasoline,Orange,Black,None reported,455.0,6.2,8.0,Automatic
dodge,Ram Van,2002,70000,gasoline,Red,Beige,Accident Reported,175.0,3.9,6.0,Automatic
karma,Revero Base,2018,20760,unknown,White,Black,None reported,403.0,2.0,6.0,Automatic
audi,A6 2.0T,2016,63398,gasoline,White,Gray,Accident Reported,252.0,2.0,4.0,Automatic
subaru,Wrx Limited,2017,73120,gasoline,White,Black,Accident Reported,268.0,2.0,4.0,CVT
jeep,Wrangler Sport,2000,122945,gasoline,Beige,Brown,None reported,181.0,4.0,6.0,Manual
kia,Optima Hybrid,2012,117220,hybrid,Black,Black,None reported,206.0,2.4,4.0,Automatic
audi,A5 2.0T,2019,47523,gasoline,Black,Black,None reported,248.0,2.0,4.0,unknown
gmc,Yukon Denali,2018,76000,gasoline,Black,Black,None reported,420.0,6.2,8.0,Automatic
gmc,Sierra 1500,2017,49105,gasoline,White,Black,None reported,420.0,6.2,8.0,Automatic
bmw,I3 120Ah,2019,16975,unknown,Black,Black,None reported,170.0,0.65,6.0,Automatic
audi,A6 3.0T,2016,72865,gasoline,Black,Black,Accident Reported,333.0,3.0,6.0,Automatic
cadillac,Sts V6,2005,96000,gasoline,Beige,Brown,Accident Reported,260.0,3.6,6.0,Automatic
acura,Tl 3.7,2012,70000,gasoline,Black,Black,Accident Reported,305.0,3.7,6.0,Automatic
ford,F-250 Xlt,2019,38514,e85 flex fuel,Black,Gray,Accident Reported,385.0,6.2,8.0,Automatic
toyota,Land Cruiser,2016,61500,gasoline,White,Black,None reported,381.0,5.7,8.0,Automatic
porsche,Boxster S,2003,138202,gasoline,Silver,Black,Accident Reported,310.0,3.2,6.0,Manual
subaru,Baja Base,2003,71000,gasoline,Red,Black,None reported,165.0,2.5,4.0,Manual
porsche,Taycan Base,2021,13344,unknown,Black,Beige,Accident Reported,321.0,3.5,6.0,Automatic
alfa,Romeo Stelvio,2020,21487,gasoline,Anodized Blue Metallic,Ice,None reported,310.0,2.0,6.0,Automatic
nissan,Titan S,2017,20220,gasoline,White,Gray,None reported,390.0,5.6,8.0,Automatic
nissan,Rogue Sport,2021,24000,gasoline,Gray,Black,None reported,141.0,2.0,4.0,Automatic
gmc,Sierra 1500,2016,85000,gasoline,White,Black,None reported,355.0,5.3,8.0,Automatic
chrysler,Crossfire Limited,2005,116320,gasoline,Gray,Red,Accident Reported,215.0,3.2,6.0,Automatic
buick,Rainier Cxl,2005,147589,gasoline,White,Beige,Accident Reported,275.0,4.2,6.0,Automatic
buick,Enclave Avenir,2021,31181,gasoline,Rich Garnet Metallic,Chestnut,Accident Reported,310.0,3.6,6.0,Automatic
gmc,Yukon Xl,2019,65212,gasoline,Summit White,Jet Black,None reported,310.0,5.3,6.0,Automatic
chrysler,Pacifica Launch,2020,22200,gasoline,Black,Black,None reported,287.0,3.6,6.0,Automatic
ram,1500 Laramie,2022,16184,gasoline,Granite Crystal Clearcoat Metallic,Black,None reported,310.0,5.7,6.0,Automatic
tesla,Model Y,2023,7414,unknown,Black,White,None reported,425.0,3.5,6.0,Automatic
acura,Tl Technology,2013,40000,gasoline,Blue,Gray,None reported,280.0,3.5,6.0,Automatic
audi,A4 2.0T,2015,73000,e85 flex fuel,Black,Black,Accident Reported,220.0,2.0,4.0,Automatic
toyota,Tundra Platinum,2023,8800,gasoline,Silver,Black,None reported,389.0,3.4,6.0,Automatic
tesla,Model Y,2022,20500,unknown,Gray,Black,None reported,425.0,3.5,6.0,Automatic
porsche,Macan,2021,21613,gasoline,White,–,None reported,310.0,2.0,6.0,Automatic
chevrolet,Express 1500,2014,139804,gasoline,White,Gray,Accident Reported,195.0,4.3,6.0,Automatic
nissan,Frontier Sv,2013,67000,gasoline,Blue,Gray,None reported,261.0,4.0,6.0,Automatic
jaguar,Xj8 L,2006,78049,gasoline,White,Beige,None reported,300.0,4.2,8.0,Automatic
genesis,G80 3.8,2020,23600,gasoline,Blue,Gray,None reported,311.0,3.8,6.0,Automatic
cadillac,Xt6 Premium,2023,222,gasoline,White,Black,None reported,310.0,3.6,6.0,Automatic
jeep,Grand Cherokee,2022,12875,gasoline,Diamond Black,Global Black,None reported,310.0,3.6,6.0,Automatic
chevrolet,Camaro 2Ss,2022,1400,gasoline,Black,Black,None reported,455.0,6.2,8.0,Automatic
nissan,Versa 1.8,2011,165000,gasoline,Black,–,None reported,122.0,1.8,4.0,Automatic
ford,Bronco Sport,2021,31729,gasoline,Maroon,Medium Dark Slate,Accident Reported,310.0,1.5,6.0,Automatic
toyota,Land Cruiser,1996,233000,unknown,Blue,Gray,None reported,310.0,3.5,6.0,Automatic
bmw,328 I,2014,84709,gasoline,Silver,Gray,None reported,240.0,2.0,4.0,Automatic
dodge,Charger R/T,2006,91300,gasoline,Yellow,–,None reported,350.0,5.7,8.0,Automatic
honda,Civic Ex,1993,58981,unknown,White,Beige,None reported,310.0,3.5,6.0,Automatic
porsche,Panamera Base,2018,61000,gasoline,Gray,Gray,None reported,330.0,3.0,6.0,unknown
chevrolet,Traverse Premier,2020,52000,gasoline,White,Black,None reported,310.0,3.6,6.0,Automatic
mercedes-benz,Gla-Class Gla,2015,80300,gasoline,Black,Black,Accident Reported,355.0,2.0,4.0,Automatic
mercedes-benz,Sprinter High,2015,1500,diesel,White,Gray,None reported,188.0,3.0,6.0,Automatic
pontiac,Solstice Base,2007,62310,gasoline,Gray,Black,None reported,177.0,2.4,4.0,Automatic
mercedes-benz,S-Class S,2015,95428,gasoline,Silver,Silver,None reported,621.0,6.0,12.0,Automatic
tesla,Model Y,2020,30554,unknown,Blue,Black,None reported,310.0,3.5,6.0,Automatic
cadillac,Xts Luxury,2013,152000,gasoline,Black,Gray,Accident Reported,304.0,3.6,6.0,Automatic
jeep,Gladiator Rubicon,2020,38000,gasoline,Black,Black,None reported,285.0,3.6,6.0,Automatic
lincoln,Navigator Reserve,2018,54000,gasoline,Brown,Orange,Accident Reported,450.0,3.5,6.0,Automatic
chevrolet,Avalanche 1500,2005,97146,e85 flex fuel,Black,Gray,Accident Reported,295.0,5.3,8.0,unknown
audi,S4 Base,2007,93000,gasoline,Black,Black,Accident Reported,340.0,4.2,8.0,Manual
audi,A7 3.0T,2015,73000,diesel,White,Gray,None reported,240.0,3.0,6.0,Automatic
jeep,Grand Cherokee,2017,80150,gasoline,Blue,Black,Accident Reported,293.0,3.6,6.0,Automatic
chevrolet,Colorado Z85,2005,155000,gasoline,Blue,Gray,Accident Reported,220.0,3.5,5.0,Automatic
bmw,330 I,2018,117000,gasoline,Black,Beige,None reported,248.0,2.0,4.0,Automatic
kia,Sorento S,2021,19605,gasoline,Glacial White Pearl,Black,None reported,310.0,2.5,6.0,Automatic
mini,Cooper S,2009,137600,gasoline,Gold,Black,None reported,172.0,1.6,4.0,Manual
lexus,Lx 570,2020,59419,gasoline,Silver,Beige,None reported,383.0,5.7,8.0,Automatic
nissan,370Z Nismo,2016,42600,gasoline,Red,Black,Accident Reported,350.0,3.7,6.0,Automatic
subaru,Impreza Wrx,2005,90200,gasoline,Blue,Black,None reported,227.0,2.0,4.0,Manual
ram,2500 Laramie,2019,65000,diesel,Black,Black,None reported,370.0,6.7,6.0,Automatic
lincoln,Mkc Reserve,2016,100000,gasoline,White,White,None reported,240.0,2.0,4.0,unknown
bmw,M3 Base,2002,60255,gasoline,Yellow,Black,None reported,333.0,3.2,6.0,Manual
jaguar,F-Pace S,2023,4624,gasoline,Santorin Black,Black,None reported,310.0,2.0,6.0,Automatic
jeep,Liberty Renegade,2004,144770,gasoline,Beige,Beige,Accident Reported,210.0,3.7,6.0,Automatic
mazda,Cx-7 Grand,2007,83150,gasoline,White,Beige,None reported,244.0,2.3,4.0,Automatic
rivian,R1T Launch,2022,8681,unknown,Gray,Black,None reported,835.0,3.5,6.0,Automatic
suzuki,Sx4 Base,2013,99982,gasoline,Orange,Gray,Accident Reported,150.0,2.0,4.0,Manual
toyota,4Runner Limited,2016,82260,gasoline,Nautical Blue Pearl,Black,None reported,310.0,4.0,6.0,Automatic
hyundai,Elantra N,2022,11650,gasoline,Black,Black,None reported,276.0,2.0,4.0,unknown
tesla,Model 3,2018,24360,unknown,Black,White,None reported,271.0,3.5,6.0,Automatic
gmc,Terrain Sle,2022,27352,gasoline,Summit White,Jet Black,None reported,310.0,1.5,6.0,Automatic
porsche,911 Carrera,2008,132500,gasoline,Black,Black,None reported,325.0,3.6,6.0,Manual
toyota,Sequoia Sr5,2023,1539,hybrid,Green,Boulder,Accident Reported,310.0,3.4,6.0,Automatic
infiniti,Fx37 Base,2013,51500,gasoline,Gray,Black,None reported,325.0,3.7,6.0,Automatic
buick,Lacrosse Leather,2014,125559,gasoline,White,Beige,Accident Reported,304.0,3.6,6.0,Automatic
gmc,Sierra 1500,2019,43433,gasoline,Onyx Black,Walnut,None reported,310.0,5.3,6.0,Automatic
mercedes-benz,Amg E,2019,17000,gasoline,White,Brown,None reported,603.0,4.0,8.0,Automatic
jeep,Wrangler Unlimited,2016,85325,gasoline,Black,Black,None reported,285.0,3.6,6.0,Automatic
bmw,320 I,2016,185000,gasoline,Black,Beige,Accident Reported,180.0,2.0,4.0,Automatic
bmw,M3 Base,2009,112000,gasoline,Gray,Black,Accident Reported,420.0,4.0,8.0,unknown
infiniti,Q60 3.0T,2018,38000,gasoline,Red,White,None reported,400.0,3.0,6.0,Automatic
audi,Allroad 2.7T,2005,153000,gasoline,Blue,Blue,Accident Reported,250.0,2.7,6.0,Manual
hummer,H2 Base,2003,109000,gasoline,Beige,Beige,None reported,316.0,6.0,8.0,Automatic
subaru,Wrx Base,2015,52500,gasoline,Gray,Black,None reported,268.0,2.0,4.0,Manual
mitsubishi,Montero Limited,2004,145000,gasoline,Silver,Black,None reported,215.0,3.8,6.0,Automatic
ford,F-150 Xl,2019,59678,gasoline,Gray,Black,None reported,310.0,2.7,6.0,Automatic
jaguar,Xf Premium,2011,106000,gasoline,Brown,Beige,Accident Reported,385.0,5.0,8.0,Automatic
lexus,Gx 460,2018,52100,gasoline,White,Beige,None reported,301.0,4.6,8.0,Automatic
land,Rover Range,2012,92080,gasoline,Gray,Black,None reported,240.0,2.0,4.0,Automatic
volvo,S80 3.2,2010,90050,gasoline,Brown,Beige,None reported,235.0,3.2,6.0,Automatic
porsche,911 Carrera,2005,104000,gasoline,Silver,Black,None reported,355.0,3.8,6.0,Manual
land,Rover Range,2020,52000,hybrid,Gray,Black,None reported,395.0,3.0,6.0,Automatic
lexus,Es 350,2011,132000,gasoline,Black,Beige,None reported,272.0,3.5,6.0,Automatic
mini,Cooper Base,2008,104500,gasoline,Red,Black,Accident Reported,118.0,1.6,4.0,Automatic
jeep,Grand Cherokee,2011,98658,gasoline,White,Gray,None reported,360.0,5.7,8.0,Automatic
bmw,540 I,2020,37426,gasoline,White,Black,None reported,310.0,2.0,6.0,Automatic
audi,Q3 45,2022,9325,gasoline,Mythos Black Metallic,Black,None reported,310.0,2.0,6.0,Automatic
cadillac,Escalade Luxury,2015,99897,gasoline,Black,Black,None reported,420.0,6.2,8.0,Automatic
mazda,Mazda3 S,2016,85000,unknown,Black,Black,Accident Reported,310.0,3.5,6.0,Automatic
nissan,350Z Touring,2007,90000,gasoline,White,Green,Accident Reported,306.0,3.5,6.0,Manual
tesla,Model 3,2018,92813,unknown,Red,Black,None reported,271.0,3.5,6.0,Automatic
land,Rover Discovery,2017,47200,gasoline,Black,Beige,Accident Reported,340.0,3.0,6.0,Automatic
toyota,Land Cruiser,2010,269885,gasoline,Black,Beige,Accident Reported,381.0,5.7,8.0,Automatic
saab,9-3 Se,2002,77200,gasoline,Black,Beige,None reported,205.0,2.0,4.0,Manual
tesla,Model S,2018,47000,unknown,Black,Black,None reported,518.0,3.5,6.0,Automatic
subaru,Wrx Premium,2017,62662,gasoline,Red,Black,Accident Reported,268.0,2.0,4.0,Manual
hummer,H3 Base,2010,107481,gasoline,White,Black,None reported,239.0,3.7,5.0,Automatic
genesis,Gv80 2.5T,2022,7523,gasoline,Black,Black,None reported,310.0,2.5,6.0,Automatic
nissan,Murano Sl,2010,138700,gasoline,Gray,Black,Accident Reported,265.0,3.5,6.0,CVT
subaru,Impreza 2.0I,2015,102242,gasoline,Quartz Blue Pearl,Black,Accident Reported,310.0,2.0,6.0,Manual
toyota,Sequoia Limited,2023,8200,hybrid,Brown,Black,None reported,437.0,3.4,6.0,Automatic
porsche,Cayenne Turbo,2020,39611,gasoline,Quartzite Grey Metallic,Black,None reported,310.0,4.0,6.0,Automatic
rivian,R1S Adventure,2023,2800,unknown,White,Green,None reported,835.0,3.5,6.0,Automatic
volkswagen,E-Golf Se,2016,41615,unknown,Blue,Gray,None reported,115.0,3.5,6.0,Automatic
ford,F-350 Lariat,2021,28220,diesel,Silver,Black,None reported,475.0,6.7,8.0,Automatic
mazda,Mx-5 Miata,1999,130000,gasoline,Green,Beige,Accident Reported,140.0,1.8,4.0,Automatic
nissan,Armada Platinum,2018,108206,gasoline,White,Charcoal,Accident Reported,310.0,5.6,6.0,Automatic
jaguar,F-Type,2020,15903,gasoline,Silver,Black,None reported,310.0,2.0,6.0,Automatic
lincoln,Navigator Reserve,2022,13750,gasoline,White,Beige,None reported,440.0,3.5,6.0,Automatic
lexus,Rx 350,2015,110000,gasoline,White,Black,None reported,270.0,3.5,6.0,unknown
bmw,M340 I,2022,9000,hybrid,White,Red,None reported,382.0,3.0,6.0,Automatic
chevrolet,Corvette Stingray,2021,24670,gasoline,White,Brown,None reported,490.0,6.2,8.0,unknown
cadillac,Escalade Esv,2018,67726,gasoline,Black,Black,None reported,420.0,6.2,8.0,Automatic
kia,Ev6 Gt-Line,2022,22000,unknown,Gray,Black,None reported,320.0,3.5,6.0,Automatic
land,Rover Defender,2023,5433,hybrid,Santorin Black,Black,None reported,310.0,3.0,6.0,Automatic
tesla,Model 3,2019,27123,unknown,Red,Black,None reported,425.0,3.5,6.0,Automatic
ford,Mustang V6,2013,62500,gasoline,Black,Black,None reported,305.0,3.7,6.0,Manual
toyota,Tacoma Sr,2020,27363,gasoline,Gray,Gray,None reported,278.0,3.5,6.0,Automatic
ram,3500 Laramie,2013,106385,diesel,White,Black,Accident Reported,385.0,6.7,6.0,Automatic
maserati,Ghibli S,2015,28700,gasoline,White,Red,None reported,404.0,3.0,6.0,Automatic
bmw,335 Is,2012,86629,gasoline,White,Red,None reported,320.0,3.0,6.0,Automatic
ford,Transit-350 Base,2023,195,gasoline,Blue,Gray,None reported,310.0,3.5,6.0,Automatic
audi,S3 2.0T,2017,84000,gasoline,Blue,Black,None reported,292.0,2.0,4.0,Automatic
ford,F-250 Lariat,2019,35597,e85 flex fuel,Black,Black,None reported,310.0,6.2,6.0,Automatic
nissan,Altima 2.5,2020,22295,gasoline,Scarlet Ember,Gray,None reported,310.0,2.5,6.0,CVT
chevrolet,Corvette Stingray,2022,5400,gasoline,White,Black,None reported,490.0,6.2,8.0,Automatic
mazda,Mx-5 Miata,2008,39800,gasoline,Blue,Black,None reported,158.0,2.0,4.0,unknown
toyota,Mirai Base,2016,40000,not supported,Silver,Black,None reported,151.0,3.5,6.0,Automatic
gmc,Acadia Slt-2,2013,115000,gasoline,White,Brown,None reported,288.0,3.6,6.0,Automatic
mercedes-benz,Amg C,2019,33500,gasoline,Red,Black,None reported,385.0,3.0,6.0,Automatic
rivian,R1S Adventure,2023,211,unknown,Blue,Black,None reported,835.0,3.5,6.0,Automatic
mazda,Cx-30 Preferred,2020,9927,gasoline,Snowflake White Pearl,Black,None reported,310.0,2.5,6.0,Automatic
porsche,911 Carrera,2005,46200,gasoline,Silver,Black,None reported,325.0,3.6,6.0,Manual
bmw,M240 I,2018,61000,gasoline,Blue,Black,Accident Reported,335.0,3.0,6.0,Manual
mazda,Mx-5 Miata,2003,9260,gasoline,White,Beige,None reported,142.0,1.8,4.0,Manual
ford,Edge Sport,2011,132000,gasoline,Black,Black,Accident Reported,305.0,3.7,6.0,unknown
subaru,Impreza Outback,2008,98313,gasoline,Silver,Gray,None reported,170.0,2.5,4.0,Automatic
cadillac,Ats 3.6L,2016,25000,gasoline,Red,Beige,None reported,335.0,3.6,6.0,Automatic
ford,Bronco,2021,3596,gasoline,Blue,Black Onyx,None reported,310.0,2.7,6.0,Automatic
chevrolet,Avalanche 1500,2012,148000,e85 flex fuel,Black,Black,None reported,320.0,5.3,8.0,Automatic
subaru,Forester 2.5I,2015,90000,gasoline,Silver,Gray,None reported,170.0,2.5,4.0,CVT
lexus,Rc 350,2021,23436,gasoline,Black,Black,None reported,311.0,3.5,6.0,Automatic
rolls-royce,Ghost Base,2011,79000,gasoline,Black,White,Accident Reported,563.0,6.6,12.0,Automatic
scion,Tc Release,2010,120010,gasoline,Gray,Black,Accident Reported,161.0,2.4,4.0,Automatic
tesla,Model X,2022,15443,unknown,Red,Black,None reported,670.0,3.5,6.0,Automatic
lexus,Nx 350H,2024,300,hybrid,Black,Black,None reported,240.0,2.5,4.0,Automatic
ford,Bronco Base,2022,6200,gasoline,Black,Black,None reported,275.0,2.3,4.0,Manual
volkswagen,Eurovan Mv,2001,220000,gasoline,Silver,–,None reported,140.0,2.8,6.0,Automatic
hummer,H3 Base,2007,153692,gasoline,Beige,Black,None reported,242.0,3.7,5.0,Automatic
bentley,Arnage R,2005,8332,gasoline,White,Beige,None reported,400.0,6.75,8.0,Automatic
audi,A4 2.0T,2018,27532,gasoline,Gray,Black,None reported,252.0,2.0,4.0,Automatic
gmc,Acadia Slt-1,2011,120000,gasoline,Silver,Gray,None reported,288.0,3.6,6.0,Automatic
lucid,Air Pure,2023,1300,unknown,Black,Gray,None reported,620.0,3.5,6.0,Automatic
porsche,911 Carrera,2014,22700,gasoline,Silver,Black,Accident Reported,350.0,3.4,6.0,Manual
tesla,Model 3,2018,36187,unknown,White,Black,None reported,271.0,3.5,6.0,Automatic
volkswagen,Jetta 1.4T,2019,55234,gasoline,Platinum Gray Metallic,Black / Gray,None reported,310.0,1.4,6.0,Automatic
dodge,Ram 1500,2004,73000,gasoline,Black,Gray,None reported,500.0,8.3,10.0,Manual
mazda,Mazda6 Signature,2021,11737,gasoline,Soul Red Crystal Metallic,Deep Chestnut,None reported,310.0,2.5,6.0,Automatic
mercedes-benz,A-Class A,2019,28663,gasoline,Jupiter Red,Black,None reported,310.0,2.0,6.0,Automatic
audi,Q5 3.0T,2015,60251,gasoline,Black,Black,Accident Reported,272.0,3.0,6.0,Automatic
mercedes-benz,C-Class C,2014,84500,gasoline,White,Black,None reported,451.0,6.2,8.0,Automatic
mercedes-benz,C-Class C300,2022,13177,gasoline,White,Silk Beige/Black,None reported,310.0,2.0,6.0,Automatic
toyota,Corolla Ce,2008,170000,gasoline,Gray,Gray,None reported,126.0,1.8,4.0,Automatic
toyota,Avalon Limited,2022,16156,gasoline,Blueprint,Graphite,None reported,310.0,3.5,6.0,Automatic
honda,Passport Trailsport,2023,11649,gasoline,Black,Black,None reported,280.0,3.5,6.0,Automatic
infiniti,Qx56 Base,2011,103010,gasoline,Black,Beige,None reported,400.0,5.6,8.0,Automatic
land,Rover Range,2019,17500,gasoline,Black,Black,None reported,518.0,5.0,8.0,Automatic
land,Rover Range,2019,77690,gasoline,White,Beige,None reported,380.0,3.0,6.0,Automatic
chevrolet,Tahoe Ltz,2011,140401,e85 flex fuel,Red,Beige,Accident Reported,320.0,5.3,8.0,Automatic
chevrolet,Traverse Rs,2023,6000,gasoline,Gray,Black,None reported,310.0,3.6,6.0,Automatic
chevrolet,Silverado 1500,2018,20200,gasoline,Silver,Gray,Accident Reported,355.0,5.3,8.0,Automatic
audi,Rs 4,2007,99769,gasoline,Gray,White,None reported,420.0,4.2,8.0,Manual
bmw,Z4 3.0Si,2008,59257,gasoline,Gray,Black,None reported,255.0,3.0,6.0,Manual
acura,Mdx Touring,2003,165000,gasoline,Silver,Black,Accident Reported,260.0,3.5,6.0,Automatic
acura,Mdx 3.5L,2017,79884,gasoline,Gray,Graystone,Accident Reported,310.0,3.5,6.0,Automatic
ford,Edge Se,2020,71200,gasoline,White,Beige,None reported,250.0,2.0,4.0,Automatic
bmw,525 I,2005,91420,gasoline,Black,Black,None reported,215.0,2.5,6.0,Automatic
ford,Mustang Premium,2007,121630,gasoline,White,Black,None reported,210.0,4.0,6.0,Automatic
jaguar,E-Pace 300,2021,23600,hybrid,Black,Black,None reported,296.0,2.0,4.0,Automatic
infiniti,Qx30 Premium,2017,37900,gasoline,Gray,Black,None reported,208.0,2.0,4.0,Automatic
kia,Sportage Lx,2023,13000,gasoline,White,Black,None reported,187.0,2.5,4.0,Automatic
nissan,Kicks S,2022,19877,gasoline,Super Black,Charcoal,None reported,310.0,1.6,6.0,CVT
rivian,R1S Launch,2022,7800,unknown,Green,Black,None reported,835.0,3.5,6.0,Automatic
ford,Thunderbird Premium,2005,82000,gasoline,Gold,White,None reported,280.0,3.9,8.0,unknown
nissan,Versa 1.6,2015,85768,gasoline,White,Black,Accident Reported,109.0,1.6,4.0,CVT
ford,Mustang Shelby,2007,7346,gasoline,Red,Black,None reported,500.0,5.4,8.0,Manual
hyundai,Accent Gls,2013,117500,gasoline,Silver,Gray,Accident Reported,138.0,1.6,4.0,Automatic
chevrolet,Corvette Z06,2006,21000,gasoline,Silver,Black,None reported,505.0,7.0,8.0,Manual
chevrolet,Suburban Lt,2017,98888,gasoline,White,Black,Accident Reported,310.0,6.0,8.0,Automatic
jeep,Wrangler Unlimited,2017,66107,gasoline,Black Clearcoat,Black,None reported,310.0,3.6,6.0,Automatic
toyota,Tundra Sr5,2004,229450,gasoline,Gray,Gray,None reported,240.0,4.7,8.0,Automatic
tesla,Model Y,2023,6188,unknown,Gray,White,None reported,455.0,3.5,6.0,Automatic
lexus,Gx 460,2021,39102,gasoline,Silver,Rioja Red,None reported,310.0,4.6,6.0,Automatic
cadillac,Escalade Sport,2021,28121,gasoline,Black Raven,Jet Black,None reported,310.0,6.2,6.0,Automatic
kia,K5 Ex,2021,11154,gasoline,Glacial White Pearl,Black,None reported,310.0,1.6,6.0,Automatic
dodge,Charger Srt,2020,54320,gasoline,Gray,Black,Accident Reported,707.0,6.2,8.0,Automatic
volvo,C70 T5,2006,61000,gasoline,Blue,Beige,None reported,218.0,2.5,5.0,Manual
toyota,Land Cruiser,2017,65000,gasoline,Black,Brown,Accident Reported,381.0,5.7,8.0,Automatic
bmw,X6 M,2016,52375,gasoline,White,Brown,Accident Reported,567.0,4.4,8.0,Automatic
ford,Expedition El,2011,195500,e85 flex fuel,White,Beige,None reported,310.0,5.4,8.0,Automatic
bmw,650 Gran,2014,82978,gasoline,Black,White,None reported,445.0,4.4,8.0,Automatic
bmw,340 I,2016,28000,gasoline,Black,Red,None reported,320.0,3.0,6.0,Manual
audi,A5 2.0T,2018,35850,gasoline,White,Black,None reported,252.0,2.0,4.0,Automatic
toyota,86 860,2017,87500,gasoline,Silver,Black,None reported,200.0,2.0,4.0,Automatic
bmw,535 I,2008,135000,gasoline,Silver,Black,None reported,300.0,3.0,6.0,Automatic
lincoln,Mkz Reserve,2017,37375,gasoline,Blue,Brown,None reported,400.0,3.0,6.0,Automatic
dodge,Challenger Srt8,2010,70000,gasoline,Orange,Black,None reported,425.0,6.1,8.0,Manual
maserati,Quattroporte S,2019,23230,gasoline,Black,Black,None reported,424.0,3.0,6.0,Automatic
toyota,Avalon Xle,2015,90000,gasoline,White,Beige,None reported,268.0,3.5,6.0,Automatic
land,Rover Range,2012,66500,gasoline,Silver,Black,None reported,385.0,5.0,8.0,Automatic
audi,A5 2.0T,2018,67035,gasoline,Pink,Brown,Accident Reported,252.0,2.0,4.0,unknown
toyota,Yaris Base,2010,138071,gasoline,Red,Gray,None reported,106.0,1.5,4.0,Manual
kia,Forte Gt-Line,2022,14950,gasoline,Silver,Gray,Accident Reported,147.0,2.0,4.0,Automatic
ford,F-250 Lariat,2015,68749,diesel,Gray,Black,None reported,440.0,6.7,8.0,unknown
mercedes-benz,E-Class E,2018,28690,gasoline,White,Beige,None reported,329.0,3.0,6.0,Automatic
land,Rover Range,2020,41500,hybrid,Gray,Gray,None reported,395.0,3.0,6.0,Automatic
jeep,Grand Wagoneer,2022,18428,gasoline,Baltic Gray,Black,None reported,310.0,6.4,6.0,Automatic
toyota,Tacoma Base,2011,36000,gasoline,Gray,Gray,None reported,159.0,2.7,4.0,Manual
hyundai,Kona Ev,2022,9400,unknown,Red,Black,None reported,201.0,3.5,6.0,Automatic
